alguien <algn>	jemand <jd.>
taxista {m}	Taxifahrer {m}
maravilloso	wunderbar
padre {m}	Vater {m}
lo típico [col.]	das Übliche {n}
negro	schwarz
hermana {f}	Schwester {f}
presidente {m}	Präsident {m}
gerente {m}	Geschäftsführer {m}
mesa {f}	Tisch {m}
grande	groß
cerveza {f}	Bier {n}
rosado	pink
madre {f}	Mutter {f}
casado	verheiratet
débil	schwach
interruptor {m}	Lichtschalter {m}
canción {f} [canto]	Lied {n}
moreno	dunkelbraun
planeta {m}	Planet {m}
allí	dort
estudiante {f} [de universidad]	Studentin {f}
flor {f} [planta]	Blume {f}
invitación {f}	Einladung {f}
azul	blau
tren {m}	Zug {m}
típico (de algn/algo)	typisch (für jdn./etw.)
maravilloso	wunderschön
luz {f}	Licht {n}
barco {m}	Schiff {n}
flaco	dünn
moreno	dunkelhäutig
desaparecer	verschwinden
bolsa {f}	Tüte {f}
presidente {f}	Präsidentin {f}
barato [a bajo precio]	billig [preiswert]
guapo [atractivo]	gut aussehend
horrible	schrecklich
joven	jung
teléfono {m}	Telefon {n}
sistema {m}	System {n}
pianista {m}	Pianist {m}
clima {m}	Klima {n}
gratitud {f}	Dankbarkeit {f}
buscar algo	etw. suchen
amiga {f}	Freundin {f} [Freundschaft]
amistad {f}	Freundschaft {f}
difícil	schwierig
cantante {f}	Sängerin {f}
plaza {f}	Platz {m}
salón {m}	Wohnzimmer {n}

suerte {f}	Glück {n}
país {m}	Land {n}
gordo	dick

carro {m} [am.]	Auto {n}
